rank,hand,label,notation,combos,equity_pct,win_pct,tie_pct,win_count,tie_count,denominator,rank_low,rank_high
163,AdAcQhTh,AAQT (ss),AA(QT),12,66.405458,65.968055,0.874806,1672808206956,22183213092,2535785239680,163,163
164,AdAcQhJh,AAQJ (ss),AA(QJ),12,66.396259,65.95706,0.878399,1672529391684,22274307456,2535785239680,164,164
165,AdAc9c8c,AA98 (3s),(A98)A,12,66.383021,65.883884,0.998274,1670673807132,25314093780,2535785239680,165,165
166,AdAc9h8h,AA98 (ss),AA(98),12,66.376281,65.871551,1.00946,1670361071712,25597735608,2535785239680,166,166
167,AdAcKcTh,AAKT (ss),(AK)AT,24,66.375292,66.017347,0.71589,3348116287152,36306849552,5071570479360,167,167
168,AdAcTc6h,AAT6 (ss),(AT)A6,24,66.371471,66.027601,0.687739,3348636326304,34879182744,5071570479360,168,168
169,AdAcTh6c,AAT6 (ss),(A6)AT,24,66.361777,66.017736,0.688081,3348136022832,34896505272,5071570479360,169,169
170,AcQdQcTd,AQQT (ds),(AQ)(QT),12,66.343896,65.94966,0.788472,1672341748308,19993959084,2535785239680,170,170
171,AcQdQcJd,AQQJ (ds),(AQ)(QJ),12,66.341729,65.945498,0.792461,1672236205944,20095107348,2535785239680,171,171
172,AdAcKhTc,AAKT (ss),(AT)AK,24,66.331119,65.973215,0.715807,3345878104176,36302653320,5071570479360,172,172
173,KdKc7c6d,KK76 (ds),(K7)(K6),12,66.331067,65.893074,0.875986,1670906841576,22213128864,2535785239680,173,173
174,AdAcKcJh,AAKJ (ss),(AK)AJ,24,66.262268,65.902618,0.719299,3342297735672,36479775624,5071570479360,174,174
175,KdKcTc6d,KKT6 (ds),(KT)(K6),12,66.248344,65.899265,0.698157,1671063847428,17703750588,2535785239680,175,175
176,AdAcKcQh,AAKQ (ss),(AK)AQ,24,66.236378,65.874899,0.722957,3340891943760,36665255472,5071570479360,176,176
177,AdAcKhJc,AAKJ (ss),(AJ)AK,24,66.234195,65.874571,0.719248,3340875292992,36477156552,5071570479360,177,177
178,AdAcKhQc,AAKQ (ss),(AQ)AK,24,66.222659,65.861193,0.722932,3340196811936,36664019808,5071570479360,178,178
179,AdAcJc7h,AAJ7 (ss),(AJ)A7,24,66.221665,65.87585,0.691628,3340940182680,35076419664,5071570479360,179,179
180,AdAcJh7c,AAJ7 (ss),(A7)AJ,24,66.202503,65.856534,0.691938,3339960526800,35092112328,5071570479360,180,180
181,AdAc8c7c,AA87 (3s),(A87)A,12,66.150069,65.653839,0.992461,1664840347392,25166683056,2535785239680,181,181
182,AdAcTc5h,AAT5 (ss),(AT)A5,24,66.142277,65.821798,0.640958,3338198864976,32506656528,5071570479360,182,182
183,AdAcTh5c,AAT5 (ss),(A5)AT,24,66.139217,65.818627,0.641181,3338038055832,32517943680,5071570479360,183,183
184,AdAcTsTh,AATT (r),AATT,6,66.10808,65.899268,0.417625,835531956984,5295031380,1267892619840,184,184
